Branch_ID,True_Archetype,x1_OpCost,x2_Staff,z1_GreenDeposits,z2_ESGAccounts,y1_GreenRevenue,y2_CarbonNPL,E1_Input,E2_Input,E0_Input,E1_Output,E2_Output,E0_Output,E1_NonOriented,E2_NonOriented,E0_NonOriented,Slack_OpCost,Slack_Staff,Slack_Revenue,Slack_CarbonNPL,Reduct_%_OpCost,Reduct_%_Staff,Expand_%_Revenue,Mitigat_%_CarbonNPL
BR_001,Archetype_A,2.035313656225323,9.632550413513641,5.580528539720655,161.61424742790186,6.990457949261016,1.5188526397088444,0.6438,0.4186,0.5312,0.6454,0.4429,0.5442,0.6436,0.4186,0.5311,0.714,3.5,0.0,0.948,35.1,36.2,0.0,62.4
BR_002,Archetype_A,2.803407064494098,20.990757752070735,8.117100914957247,290.7542056462157,7.264814522674234,0.3891823546264765,0.6623,0.3322,0.4972,0.6338,0.431,0.5324,0.6145,0.3322,0.4734,0.426,9.9,0.0,0.383,15.2,47.3,0.0,98.5
BR_003,Archetype_A,2.648284552143642,18.356608192084103,7.727006483419079,246.8746412851265,10.19020279629907,0.9350550503437607,0.6266,0.4921,0.5594,0.6249,0.5584,0.5916,0.6055,0.4921,0.5488,0.629,9.0,0.0,0.846,23.8,48.8,0.0,90.5
BR_004,Archetype_A,2.994801481902564,10.9775439374958,6.718435579245727,276.00338955349173,8.620240527581313,0.766696140779468,0.7969,0.4399,0.6184,0.7907,0.5145,0.6526,0.7068,0.4399,0.5734,0.738,0.5,0.0,0.76,24.6,4.3,0.0,99.1
BR_005,Archetype_A,1.7271727122002225,14.86860884479639,8.069240832045407,163.18948143675374,8.729302514306873,0.7390055578928008,0.7732,0.4936,0.6334,0.708,0.5932,0.6506,0.7029,0.4936,0.5982,0.0,3.6,0.0,0.663,0.0,23.9,0.0,89.7
BR_006,Archetype_A,1.6412415230565163,13.57836668931752,8.263601482570788,170.4966361338668,13.33836559669207,0.8021497854862505,0.8525,0.7486,0.8006,0.7839,0.8653,0.8246,0.7835,0.7486,0.766,0.0,0.3,0.0,0.571,0.0,2.1,0.0,71.1
BR_007,Archetype_A,1.816746556946321,16.028006760566488,6.813433809313075,307.85209003660816,9.309962059963658,0.7383886375856039,0.9637,0.4475,0.7056,0.8846,0.5415,0.713,0.8846,0.4475,0.666,0.0,0.0,0.0,0.731,0.0,0.0,0.0,99.0
BR_008,Archetype_A,3.695626952722681,25.89730882006477,8.673200368430582,264.4144069865878,6.2017283656945,1.2699361575429038,0.4824,0.2683,0.3753,0.4888,0.2909,0.3899,0.4741,0.2683,0.3712,1.533,15.8,0.0,1.216,41.5,61.1,0.0,95.7
BR_009,Archetype_A,2.8050767715089293,13.65913402199174,5.008994134038612,87.25213586603799,6.654540419868123,1.015894876580803,0.379,0.5965,0.4878,0.3125,0.7224,0.5174,0.3105,0.5965,0.4535,1.62,8.1,0.0,0.473,57.8,59.6,0.0,46.5
BR_010,Archetype_A,3.0419503139373596,21.881314972036435,3.989389187127599,125.55440823820082,4.822431052925528,0.9178691816951621,0.2738,0.4143,0.344,0.2745,0.4159,0.3452,0.2662,0.4143,0.3402,2.015,17.1,0.0,0.524,66.2,78.2,0.0,57.1
BR_011,Archetype_A,2.0899138420115158,15.961602755866968,4.826404487827895,196.87674226541557,10.545293252451522,0.5248884369918132,0.5845,0.8198,0.7022,0.5313,0.8866,0.709,0.5144,0.8198,0.6671,0.48,8.5,0.0,0.284,23.0,53.1,0.0,54.0
BR_012,Archetype_A,3.5100410219059217,19.056939630532945,3.6948708552710716,291.59976800313103,7.8093859717819045,1.075851933925561,0.5888,0.5297,0.5592,0.3411,0.6031,0.4721,0.3384,0.5297,0.434,1.125,8.0,0.0,0.438,32.1,41.8,0.0,40.8
